Terytorium;Przyst¹pi³o_zda³o;P³eæ;Rok;Liczba osób
Pomorskie;przyst¹pi³o;mê¿czyŸni;2016;6338
Pomorskie;przyst¹pi³o;kobiety;2016;8117
Pomorskie;przyst¹pi³o;mê¿czyŸni;2017;6626
Pomorskie;przyst¹pi³o;kobiety;2017;8244
Pomorskie;przyst¹pi³o;mê¿czyŸni;2018;6665
Pomorskie;przyst¹pi³o;kobiety;2018;7933
Pomorskie;zda³o;mê¿czyŸni;2010;7488
Pomorskie;zda³o;kobiety;2010;9629
Pomorskie;zda³o;mê¿czyŸni;2011;6503
Pomorskie;zda³o;kobiety;2011;7938
Pomorskie;zda³o;mê¿czyŸni;2012;6546
Pomorskie;zda³o;kobiety;2012;8260
Pomorskie;zda³o;mê¿czyŸni;2013;6247
Pomorskie;zda³o;kobiety;2013;7938
Pomorskie;zda³o;mê¿czyŸni;2014;5200
Pomorskie;zda³o;kobiety;2014;6476
Pomorskie;zda³o;mê¿czyŸni;2015;5259
Pomorskie;zda³o;kobiety;2015;6428
Pomorskie;zda³o;mê¿czyŸni;2016;5071
Pomorskie;zda³o;kobiety;2016;6414
Pomorskie;zda³o;mê¿czyŸni;2017;5198
Pomorskie;zda³o;kobiety;2017;6418
Pomorskie;zda³o;mê¿czyŸni;2018;5171
Pomorskie;zda³o;kobiety;2018;6133
Œl¹skie;przyst¹pi³o;mê¿czyŸni;2010;19020
Œl¹skie;przyst¹pi³o;kobiety;2010;22991
Œl¹skie;przyst¹pi³o;mê¿czyŸni;2011;17624
Œl¹skie;przyst¹pi³o;kobiety;2011;21466
Œl¹skie;przyst¹pi³o;mê¿czyŸni;2012;16497
Œl¹skie;przyst¹pi³o;kobiety;2012;19682
Œl¹skie;przyst¹pi³o;mê¿czyŸni;2013;15809
Œl¹skie;przyst¹pi³o;kobiety;2013;19232
Œl¹skie;przyst¹pi³o;mê¿czyŸni;2014;14522
Œl¹skie;przyst¹pi³o;kobiety;2014;17211
Œl¹skie;przyst¹pi³o;mê¿czyŸni;2015;13707
Œl¹skie;przyst¹pi³o;kobiety;2015;16100
Œl¹skie;przyst¹pi³o;mê¿czyŸni;2016;13039
Œl¹skie;przyst¹pi³o;kobiety;2016;15322
Œl¹skie;przyst¹pi³o;mê¿czyŸni;2017;13288
Œl¹skie;przyst¹pi³o;kobiety;2017;15054
Œl¹skie;przyst¹pi³o;mê¿czyŸni;2018;12633
